Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,8469.67038,2.34E-25,9.81E-03,0.0614,0.273,1059.8353,0.61,-0.012235
1,1,8469.45259,8.22E-27,6.84E-05,0.0616,0.371,756.7247,0.63,-0.01212
1,1,8469.403874,7.85E-25,1.76E-02,0.0842,0.354,931.237,0.61,-0.013924
1,1,8469.271708,1.21E-27,3.99E-03,0.047,0.315,1810.583,0.55,-0.019717
1,2,8469.252483,3.34E-27,1.32E+00,0.0222,0.177,1798.9655,0.41,-0.025819
1,4,8469.053837,3.20E-27,4.79E-02,0.0901,0.412,295.6775,0.69,-0.013528
1,2,8469.04283,1.09E-27,1.30E+00,0.0174,0.176,1798.9656,0.41,-0.028808
1,4,8468.783582,1.02E-26,5.31E-01,0.0774,0.315,735.7351,0.55,-0.02101
1,1,8468.753068,1.31E-24,2.93E-02,0.0863,0.363,931.237,0.61,-0.012896
1,2,8468.70502,1.85E-27,3.08E-02,0.0885,0.34,752.1874,0.63,-0.009407
1,1,8468.524469,7.83E-27,6.51E-01,0.0495,0.4,2756.4142,0.41,-0.029346
1,3,8468.404821,6.72E-27,1.56E-02,0.0912,0.456,134.1453,0.72,-0.007433
1,1,8468.157694,2.72E-24,9.69E-03,0.0756,0.379,552.9114,0.63,-0.004028
1,1,8468.093169,1.08E-27,2.17E-04,0.0485,0.333,1411.6113,0.57,-0.016745
1,1,8468.043727,3.76E-27,4.14E-02,0.0875,0.391,2130.4942,0.67,-0.013793
1,1,8468.039602,1.93E-27,8.08E-06,0.0796,0.352,586.2435,0.61,-0.00752
1,1,8468.000641,3.24E-27,8.12E-05,0.0671,0.371,757.7801,0.63,-0.012565
1,1,8467.902217,2.78E-24,1.58E-02,0.0835,0.371,648.9787,0.63,-0.005972
1,1,8467.785276,3.65E-27,4.02E-03,0.0382,0.315,1810.5877,0.55,-0.019277
1,1,8467.291572,1.56E-25,2.26E-03,0.0454,0.212,920.168,0.55,-0.016316
1,1,8467.014553,1.72E-27,4.61E-02,0.0167,0.235,2327.8826,0.4,-0.034785
1,1,8466.982776,5.22E-27,4.66E-02,0.0202,0.235,2327.9126,0.4,-0.033952
1,1,8466.371952,1.86E-27,6.07E-03,0.0484,0.298,2054.3448,0.51,-0.02209
1,1,8466.270723,1.63E-25,1.36E+00,0.0197,0.191,2073.5142,0.4,-0.031651
1,1,8466.270632,4.88E-25,1.36E+00,0.0189,0.212,2073.5136,0.4,-0.025726
1,1,8466.061606,8.31E-27,9.31E-04,0.0518,0.4,1114.5313,0.51,-0.013998
1,4,8465.575884,5.56E-27,4.86E-01,0.0741,0.315,841.3675,0.55,-0.01475
1,1,8465.528934,2.67E-27,2.05E-02,0.0958,0.412,2004.8154,0.69,-0.012628
1,1,8464.966216,1.01E-23,2.18E-02,0.0936,0.456,95.1759,0.72,-0.008876
1,1,8464.879782,3.83E-26,1.38E-01,0.0354,0.298,2054.3448,0.51,-0.02147
1,1,8464.85634,1.28E-26,1.38E-01,0.0336,0.298,2054.3681,0.51,-0.019321
1,1,8464.382165,5.94E-25,2.50E-03,0.0917,0.423,326.6255,0.67,-0.008635
1,1,8463.762311,6.82E-25,9.91E-03,0.0923,0.422,842.3565,0.61,-0.013567
