Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,2,7156.1647,5.57E-25,7.27E-01,0.0995,0.488,204.7559,0.71,-0.009869
1,3,7156.1872,1.31E-27,3.14E-02,0.0884,0.352,840.8651,0.61,-0.01316
1,4,7156.187546,1.49E-28,8.59E-01,0.0969,0.456,1521.0423,0.72,-0.01198
1,3,7156.2354,2.21E-27,2.07E-02,0.0778,0.371,647.0723,0.63,-0.01794
1,3,7156.2826,3.80E-28,1.78E-01,0.0412,0.281,1521.5175,0.47,-0.0232
1,3,7156.3153,1.48E-25,3.21E+00,0.105,0.5,36.9315,0.73,-0.009859
1,1,7156.3248,6.97E-29,8.96E+00,0.1008,0.48,3779.4933,0.73,-0.00328
1,3,7156.3258,1.34E-29,3.41E-01,0.0383,0.281,2135.8594,0.47,-0.019216
1,1,7156.3288,3.49E-29,2.64E-01,0.1016,0.48,3196.0936,0.73,-0.008
1,1,7156.35196,4.07E-25,3.54E-03,0.095,0.391,503.9681,0.67,-0.01426
1,4,7156.378394,4.16E-29,7.22E-02,0.06,0.298,1587.7402,0.51,-0.01906
1,5,7156.418993,8.69E-28,3.27E+00,0.0917,0.412,219.9793,0.69,-0.0085
1,1,7156.4551,1.27E-24,1.08E+01,0.0981,0.36,1693.6499,0.72,-0.0068
1,1,7156.4644,2.37E-27,5.00E-02,0.0697,0.265,2300.6841,0.44,-0.02746
1,4,7156.467843,4.15E-29,7.22E-02,0.0443,0.298,1587.7403,0.51,-0.0174
1,1,7156.4969,7.36E-27,2.42E-04,0.0637,0.333,882.8903,0.57,-0.005892
1,2,7156.5159,1.75E-29,5.19E-02,0.0489,0.265,2265.4383,0.44,-0.01608
1,3,7156.521,1.52E-27,1.04E+01,0.0981,0.5,1673.3478,0.72,-0.00852
1,1,7156.5618,1.04E-24,7.13E-02,0.0487,0.352,1059.6466,0.61,-0.01418
1,4,7156.579105,3.57E-27,3.59E-02,0.0961,0.456,109.2691,0.72,-0.0192
1,1,7156.7227,4.74E-26,2.87E-02,0.0634,0.281,1813.2226,0.47,-0.002472
1,1,7156.7237,9.96E-23,2.96E-01,0.0825,0.39,508.812,0.67,-0.0116
1,4,7156.763364,3.98E-28,1.68E-01,0.053,0.281,1278.4381,0.47,-0.00986
1,1,7156.7781,2.82E-29,1.62E+00,0.1026,0.456,3734.8968,0.72,-0.01358
1,1,7156.8171,1.07E-21,9.66E-01,0.0991,0.484,212.1564,0.71,-0.008669
1,1,7156.8188,3.00E-27,3.12E-05,0.0831,0.352,842.3565,0.61,-0.008744
1,2,7156.8357,1.94E-27,3.41E-02,0.0659,0.33,921.8957,0.61,-0.01242
1,2,7156.9025,3.07E-25,1.48E+00,0.0881,0.45,601.2377,0.63,-0.007589
1,3,7156.9067,7.50E-27,6.42E+00,0.043,0.27,1624.8421,0.55,-0.010709
1,2,7156.9458,9.42E-28,4.54E-03,0.0755,0.295,881.9139,0.57,-0.008104
1,5,7156.975128,3.29E-29,3.55E+00,0.055,0.333,1093.0276,0.57,-0.01822
1,5,7156.975276,3.29E-29,3.55E+00,0.055,0.333,1093.027,0.57,-0.01234
1,1,7157.013,5.01E-27,2.32E-02,0.101,0.456,1743.4863,0.72,-0.0132
1,1,7157.0332,8.59E-29,1.19E-04,0.0908,0.434,1772.4134,0.71,0.003016
1,3,7157.041,2.48E-27,6.36E+00,0.0415,0.33,1624.6936,0.55,-0.01874
1,1,7157.04422,2.55E-22,6.68E-01,0.0964,0.5,136.1639,0.72,-0.01198
1,1,7157.1435,2.83E-29,3.05E-01,0.0406,0.298,3565.0041,0.51,-0.019104
1,1,7157.17298,1.51E-22,6.77E-01,0.0892,0.44,315.7795,0.69,-0.00492
1,1,7157.1914,9.82E-27,1.01E+00,0.0523,0.371,2733.9626,0.63,-0.01168
1,1,7157.1933,1.36E-27,6.33E+00,0.0926,0.434,3392.7492,0.71,-0.00932
1,2,7157.1954,1.18E-28,4.25E-01,0.0391,0.281,2305.3063,0.47,-0.02092
1,1,7157.2163,4.09E-27,2.04E-02,0.036,0.25,2246.8839,0.41,-0.02026
1,1,7157.2324,3.26E-27,1.00E+00,0.0519,0.371,2733.9626,0.63,-0.008
1,3,7157.3217,1.51E-29,4.69E+00,0.0709,0.352,2562.5999,0.61,-0.0092
1,4,7157.34845,3.39E-29,5.28E-02,0.0534,0.265,1598.0681,0.44,-0.01608
1,4,7157.351391,3.31E-29,1.68E-02,0.0347,0.333,1294.8365,0.57,-0.019945
1,4,7157.351397,3.31E-29,1.68E-02,0.036,0.333,1294.8365,0.57,-0.02253
1,3,7157.3697,1.27E-28,1.38E-02,0.0704,0.315,1199.9631,0.55,-0.001852
1,3,7157.4037,4.37E-29,6.84E+00,0.0697,0.371,2392.387,0.63,-0.01468
1,1,7157.4159,9.25E-29,3.33E-01,0.0436,0.298,3564.705,0.51,-0.022632
1,3,7157.4355,4.40E-24,1.23E+01,0.0956,0.473,173.1101,0.71,-0.005649
1,2,7157.4967,1.22E-27,3.11E-01,0.0689,0.298,1534.368,0.51,-0.01698
1,6,7157.58716,4.23E-29,9.49E-01,0.0895,0.412,293.9945,0.69,-0.01036
1,1,7157.5879,1.07E-27,3.23E-02,0.0669,0.412,2129.6185,0.69,-0.00864
1,3,7157.6482,4.64E-29,7.24E-01,0.0152,0.235,2322.7491,0.4,-0.024164
1,1,7157.6644,3.79E-28,2.29E-01,0.032,0.235,3264.3362,0.4,-0.02386
1,2,7157.6792,8.64E-28,1.40E-02,0.064,0.371,880.1144,0.63,-0.01228
1,4,7157.724383,8.83E-29,1.62E-02,0.0545,0.281,1141.6915,0.47,-0.01594
